Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Session
ANT,12,90.035,2.0,1.0,32.388,39.93,17.717,280.0,326.0,265.0,280.0,True,SOFT,2.0,True,Mercedes,1,Q
ANT,12,89.774,5.0,2.0,32.351,39.788,17.635,279.0,325.0,263.0,281.0,True,SOFT,5.0,False,Mercedes,1,Q
ANT,12,89.048,8.0,3.0,32.178,39.398,17.472,280.0,328.0,265.0,282.0,True,SOFT,2.0,True,Mercedes,1,Q
ANT,12,88.778,11.0,4.0,31.855,39.439,17.484,280.0,328.0,267.0,282.0,True,SOFT,2.0,True,Mercedes,1,Q
ANT,12,88.839,14.0,5.0,31.827,39.548,17.464,280.0,328.0,265.0,282.0,False,SOFT,2.0,True,Mercedes,1,Q
RUS,63,90.631,2.0,1.0,32.723,40.067,17.841,277.0,327.0,256.0,282.0,True,SOFT,2.0,True,Mercedes,1,Q
RUS,63,89.967,5.0,2.0,32.443,39.791,17.733,279.0,326.0,256.0,281.0,True,SOFT,5.0,False,Mercedes,1,Q
RUS,63,90.117,8.0,3.0,32.446,39.859,17.812,279.0,327.0,255.0,282.0,True,SOFT,8.0,False,Mercedes,1,Q
RUS,63,89.767,11.0,4.0,32.165,39.769,17.833,281.0,325.0,255.0,280.0,True,SOFT,2.0,True,Mercedes,1,Q
RUS,63,124.89,12.0,4.0,47.78,52.771,24.339,259.0,287.0,106.0,229.0,False,SOFT,3.0,True,Mercedes,1,Q
RUS,63,121.576,13.0,4.0,49.785,52.237,19.554,262.0,275.0,250.0,267.0,False,SOFT,4.0,True,Mercedes,1,Q
RUS,63,89.686,14.0,4.0,32.264,39.715,17.707,278.0,329.0,257.0,281.0,True,SOFT,5.0,True,Mercedes,1,Q
RUS,63,89.076,17.0,5.0,31.853,39.607,17.616,278.0,328.0,260.0,282.0,True,SOFT,2.0,True,Mercedes,1,Q
